period,ticker,type,region,avg_monthly_ret,annual_ret,volatility,sharpe_proxy,neg_months,neg_month_pct,max_monthly_dd,n_months
Rate Hike,AGG,Conventional,Fixed Income,-1.3203643505668348,-14.742921321897063,2.3665054409160127,-0.5579384385677795,9,75.0,-4.503302206922044,12
Rate Hike,IEFA,Conventional,Developed exUS,-1.3483251632677247,-15.032360452256233,7.060810595629861,-0.19095897631105438,8,66.66666666666666,-11.056875450836634,12
Rate Hike,IEMG,Conventional,Emerging,-1.854352766621194,-20.11733953807554,6.424653415532633,-0.2886307862363436,10,83.33333333333334,-11.289063912669162,12
Rate Hike,IVV,Conventional,US,-1.577010780095095,-17.366031345126466,6.718916080200484,-0.23471208172137775,7,58.333333333333336,-9.681613557428703,12
Rebound,CRBN,ESG,Global,1.603975172368009,21.039855447604783,4.427494420161156,0.3622760460327415,5,41.66666666666667,-4.363716040140231,12
Rebound,DMXF,ESG,Developed exUS,1.4954795322814083,19.49793423412778,5.067151335396953,0.2951322021575767,5,41.66666666666667,-4.387334989044156,12
Rebound,DSI,ESG,US,2.089849750527775,28.171296025953406,4.575529408192271,0.45674490623664166,4,33.33333333333333,-5.467466854790248,12
Rebound,EAGG,ESG,Fixed Income,0.19818370699975865,2.404299174379232,2.4306259826510637,0.08153607688485305,7,58.333333333333336,-2.8228303228129303,12
Rebound,EMXF,ESG,Emerging,0.47812803002737675,5.890847330070215,5.201819727746939,0.09191553245819,6,50.0,-7.152196546275668,12
Rebound,ERET,ESG,US,0.6522914060166012,8.114512790875139,5.8867995689592325,0.110805777974181,6,50.0,-6.091684627974637,12
Rebound,ESGD,ESG,Developed exUS,1.22872091725874,15.783051643020318,4.702812216848279,0.2612736508714358,5,41.66666666666667,-3.9662063286920346,12
Rebound,ESGE,ESG,Emerging,0.6597352871566691,8.210500950832733,5.421537960160425,0.12168784798790698,6,50.0,-7.415873980905929,12
Rebound,ESGU,ESG,US,1.8769199167151362,24.999902891164872,4.415230162361664,0.4251012626057958,4,33.33333333333333,-5.3840256954454935,12
Rebound,EUSB,ESG,Fixed Income,0.23646863481931826,2.8748215652426357,2.3241309013274547,0.10174497257631075,7,58.333333333333336,-2.688263476444752,12
